"name"	"taxRank"	"taxID"	"Max"	"C4.16S.txt.cladeReads.."	"lineage"
"Romboutsia timonensis"	"S"	1776391	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Peptostreptococcaceae>Romboutsia"
"Peptoclostridium"	"G"	1481960	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Peptostreptococcaceae"
"Peptoclostridium litorale"	"S"	1557	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Peptostreptococcaceae>Peptoclostridium"
"Eubacteriales incertae sedis><wbr>Gemmiger><wbr>Gemmiger formicilis"	"S"	745368	0.1082	0.1082	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Gemmiger"
"Eubacteriales incertae sedis><wbr>Gemmiger><wbr>Gemmiger gallinarum"	"S"	2779354	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Gemmiger"
"Eubacteriales incertae sedis><wbr>Eubacteriales Family XIII. Incertae Sedis"	"F"	543314	0.1049	0.1049	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis"
"Lentihominibacter><wbr>Lentihominibacter faecis"	"S"	2764712	0.0295	0.0295	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Eubacteriales&nbsp;Family&nbsp;XIII.&nbsp;Incertae&nbsp;Sedis>Lentihominibacter"
"Aminipila"	"G"	2060094	0.01311	0.01311	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Eubacteriales&nbsp;Family&nbsp;XIII.&nbsp;Incertae&nbsp;Sedis"
"Mogibacterium><wbr>Mogibacterium kristiansenii"	"S"	2606708	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Eubacteriales&nbsp;Family&nbsp;XIII.&nbsp;Incertae&nbsp;Sedis>Mogibacterium"
"Emergencia><wbr>Emergencia timonensis"	"S"	1776384	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Eubacteriales&nbsp;Family&nbsp;XIII.&nbsp;Incertae&nbsp;Sedis>Emergencia"
"Alterileibacterium><wbr>Alterileibacterium massiliense"	"S"	1870997	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Eubacteriales&nbsp;Family&nbsp;XIII.&nbsp;Incertae&nbsp;Sedis>Alterileibacterium"
"Bacilliculturomica><wbr>Bacilliculturomica massiliensis"	"S"	1917867	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Eubacteriales&nbsp;Family&nbsp;XIII.&nbsp;Incertae&nbsp;Sedis>Bacilliculturomica"
"[Eubacterium] infirmum"	"S"	56774	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Eubacteriales&nbsp;Family&nbsp;XIII.&nbsp;Incertae&nbsp;Sedis"
"Casaltella><wbr>Casaltella massiliensis"	"S"	938278	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Eubacteriales&nbsp;Family&nbsp;XIII.&nbsp;Incertae&nbsp;Sedis>Casaltella"
"Ihubacter><wbr>Ihubacter massiliensis"	"S"	1852367	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Eubacteriales&nbsp;Family&nbsp;XIII.&nbsp;Incertae&nbsp;Sedis>Ihubacter"
"[Eubacterium] brachy"	"S"	35517	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Eubacteriales&nbsp;Family&nbsp;XIII.&nbsp;Incertae&nbsp;Sedis"
"Eubacteriales incertae sedis><wbr>Natranaerovirga><wbr>Natranaerovirga pectinivora"	"S"	682400	0.01639	0.01639	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Natranaerovirga"
"Eubacteriales incertae sedis><wbr>Natranaerovirga><wbr>Natranaerovirga hydrolytica"	"S"	680378	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Natranaerovirga"
"Eubacteriales incertae sedis><wbr>Intestinimonas><wbr>Intestinimonas butyriciproducens"	"S"	1297617	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Intestinimonas"
"Eubacteriales incertae sedis><wbr>Intestinimonas><wbr>Intestinimonas massiliensis (ex Afouda et al. 2020)"	"S"	1673721	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Intestinimonas"
"Eubacteriales incertae sedis><wbr>Howardella><wbr>Howardella ureilytica"	"S"	404403	0.01311	0.01311	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Howardella"
"Eubacteriales incertae sedis><wbr>Flintibacter><wbr>Flintibacter butyricus"	"S"	1417852	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Flintibacter"
"Eubacteriales incertae sedis><wbr>[Bacteroides] pectinophilus"	"S"	384638	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis"
"Eubacteriales incertae sedis><wbr>Colidextribacter><wbr>Colidextribacter massiliensis"	"S"	1870986	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Colidextribacter"
"Eubacteriales incertae sedis><wbr>...><wbr>Guggenheimella bovis"	"S"	228924	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Eubacteriales&nbsp;Family&nbsp;XII.&nbsp;Incertae&nbsp;Sedis>Guggenheimella"
"Eubacteriales incertae sedis><wbr>...><wbr>Sulfobacillus thermotolerans"	"S"	338644	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Clostridiales&nbsp;Family&nbsp;XVII.&nbsp;Incertae&nbsp;Sedis>Sulfobacillus"
"Eubacteriaceae><wbr>Eubacterium><wbr>Eubacterium uniforme"	"S"	39495	0.01311	0.01311	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriaceae>Eubacterium"
"Eubacteriaceae><wbr>Eubacterium><wbr>Eubacterium coprostanoligenes"	"S"	290054	0.01311	0.01311	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriaceae>Eubacterium"
"Eubacteriaceae><wbr>Eubacterium><wbr>Eubacterium oxidoreducens"	"S"	1732	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriaceae>Eubacterium"
"Eubacteriaceae><wbr>Eubacterium><wbr>Eubacterium xylanophilum"	"S"	39497	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriaceae>Eubacterium"
"Eubacteriaceae><wbr>Eubacterium><wbr>Eubacterium ruminantium"	"S"	42322	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriaceae>Eubacterium"
"Eubacteriaceae><wbr>Eubacterium><wbr>[Eubacterium] cellulosolvens"	"S"	29322	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriaceae>Eubacterium"
"Eubacteriaceae><wbr>...><wbr>Eubacterium ramulus ATCC 29099"	"-"	1256908	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriaceae>Eubacterium>Eubacterium&nbsp;ramulus"
"Eubacteriaceae><wbr>Eubacterium><wbr>Eubacterium ventriosum"	"S"	39496	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriaceae>Eubacterium"
"Eubacteriaceae><wbr>Alkalibacter"	"G"	274470	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriaceae"
"Vallitaleaceae"	"F"	2603322	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales"
"Petrocella><wbr>Petrocella atlantisensis"	"S"	2173034	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Vallitaleaceae>Petrocella"
"Cellulosilyticaceae><wbr>...><wbr>Cellulosilyticum lentocellum DSM 5427"	"-"	642492	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Cellulosilyticaceae>Cellulosilyticum>Cellulosilyticum&nbsp;lentocellum"
"Desulfitobacteriaceae><wbr>...><wbr>Desulfosporosinus acidiphilus SJ4"	"-"	646529	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Desulfitobacteriaceae>Desulfosporosinus>Desulfosporosinus&nbsp;acidiphilus"
"Desulfallaceae><wbr>...><wbr>Desulfallas thermosapovorans DSM 6562"	"-"	1121431	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Desulfallaceae>Desulfallas>Desulfallas&nbsp;thermosapovorans"
"Desulfotomaculaceae><wbr>...><wbr>Pelotomaculum terephthalicicum JT"	"-"	947009	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Desulfotomaculaceae>Pelotomaculum>Pelotomaculum&nbsp;terephthalicicum"
"Thermincolaceae><wbr>Thermincola><wbr>Thermincola carboxydiphila"	"S"	278994	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Thermincolaceae>Thermincola"
"Yeguiaceae><wbr>Yeguia><wbr>Yeguia hominis"	"S"	2763662	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Yeguiaceae>Yeguia"
"Peptococcaceae><wbr>Phosphitispora><wbr>Phosphitispora fastidiosa"	"S"	2837202	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Peptococcaceae>Phosphitispora"
"Syntrophomonadaceae><wbr>Syntrophomonas><wbr>Syntrophomonas wolfei"	"S"	863	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Syntrophomonadaceae>Syntrophomonas"
"Halanaerobiales><wbr>Halobacteroidaceae><wbr>Orenia"	"G"	46468	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Halanaerobiales>Halobacteroidaceae"
"Orenia sivashensis"	"S"	96940	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Halanaerobiales>Halobacteroidaceae>Orenia"
"Thermoanaerobacterales><wbr>...><wbr>Caloribacterium cisternae"	"S"	996765	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Caloribacterium"
"Negativicutes"	"C"	909932	0.8752	0.8752	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota"
"Veillonellales><wbr>Veillonellaceae"	"F"	31977	0.672	0.672	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales"
"Megasphaera"	"G"	906	0.3245	0.3245	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae"
"Megasphaera elsdenii"	"S"	907	0.2753	0.2753	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Megasphaera"
"Megasphaera elsdenii DSM 20460"	"-"	1064535	0.1934	0.1934	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Megasphaera>Megasphaera&nbsp;elsdenii"
"Megasphaera indica"	"S"	879612	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Megasphaera"
"Dialister><wbr>Dialister pneumosintes"	"S"	39950	0.1934	0.1934	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Dialister"
"Dialister><wbr>Dialister invisus"	"S"	218538	0.02622	0.02622	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Dialister"
"Veillonella"	"G"	29465	0.1147	0.1147	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae"
"Veillonella massiliensis"	"S"	1936062	0.03278	0.03278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Veillonella"
"Veillonella rodentium"	"S"	248315	0.01967	0.01967	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Veillonella"
"Veillonella atypica"	"S"	39777	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Veillonella"
"Veillonella montpellierensis"	"S"	187328	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Veillonella"
"Veillonella denticariosi"	"S"	419208	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Veillonella"
"Veillonella tobetsuensis"	"S"	1110546	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Veillonella"
"Veillonella infantium"	"S"	1911679	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Veillonellales>Veillonellaceae>Veillonella"
"Acidaminococcales><wbr>Acidaminococcaceae"	"F"	909930	0.1803	0.1803	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Acidaminococcales"
"Phascolarctobacterium"	"G"	33024	0.1606	0.1606	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Acidaminococcales>Acidaminococcaceae"
"Phascolarctobacterium succinatutens"	"S"	626940	0.1541	0.1541	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Acidaminococcales>Acidaminococcaceae>Phascolarctobacterium"
"Phascolarctobacterium faecium"	"S"	33025	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Acidaminococcales>Acidaminococcaceae>Phascolarctobacterium"
"Selenomonadales><wbr>...><wbr>Sporomusa ovata"	"S"	2378	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Selenomonadales>Sporomusaceae>Sporomusa"
"Selenomonadales><wbr>...><wbr>Pelorhabdus rhamnosifermentans"	"S"	2772457	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Selenomonadales>Sporomusaceae>Pelorhabdus"
"Selenomonadales><wbr>...><wbr>Selenomonas sputigena ATCC 35185"	"-"	546271	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Selenomonadales>Selenomonadaceae>Selenomonas>Selenomonas&nbsp;sputigena"
"Selenomonadales><wbr>...><wbr>Selenomonas flueggei ATCC 43531"	"-"	638302	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Selenomonadales>Selenomonadaceae>Selenomonas>Selenomonas&nbsp;flueggei"
"Bacilli"	"C"	91061	0.8228	0.8228	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota"
"Lactobacillales"	"O"	186826	0.3966	0.3966	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli"
"Streptococcaceae"	"F"	1300	0.236	0.236	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales"
"Streptococcus"	"G"	1301	0.2262	0.2262	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae"
"Streptococcus oralis"	"S"	1303	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus oralis ATCC 35037"	"-"	655813	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;oralis"
"Streptococcus rubneri"	"S"	1234680	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus entericus"	"S"	155680	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus panodentis"	"S"	1581472	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus gallolyticus"	"S"	315405	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus sanguinis"	"S"	1305	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus sanguinis SK1 = NCTC 7863"	"-"	888807	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;sanguinis"
"Streptococcus loxodontisalivarius"	"S"	1349415	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus castoreus"	"S"	254786	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus cuniculi"	"S"	1432788	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus anginosus group"	"-"	671232	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus oricebi"	"S"	1547447	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus dysgalactiae group><wbr>Streptococcus equi><wbr>Streptococcus equi subsp. zooepidemicus"	"-"	40041	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;dysgalactiae&nbsp;group>Streptococcus&nbsp;equi"
"Streptococcus australis"	"S"	113107	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus pantholopis"	"S"	1811193	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus infantis><wbr>Streptococcus infantis ATCC 700779"	"-"	889204	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;infantis"
"Streptococcus cristatus><wbr>Streptococcus cristatus ATCC 51100"	"-"	889201	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;cristatus"
"Streptococcus periodonticum"	"S"	2490633	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus pneumoniae"	"S"	1313	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus chosunense"	"S"	2707003	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus parasanguinis><wbr>Streptococcus parasanguinis ATCC 15912"	"-"	760570	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;parasanguinis"
"Streptococcus thermophilus"	"S"	1308	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Lactococcus"	"G"	1357	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae"
"Carnobacteriaceae><wbr>Granulicatella><wbr>Granulicatella elegans"	"S"	137732	0.06556	0.06556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Carnobacteriaceae>Granulicatella"
"Carnobacteriaceae><wbr>Granulicatella><wbr>Granulicatella adiacens"	"S"	46124	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Carnobacteriaceae>Granulicatella"
"Carnobacteriaceae><wbr>Alkalibacterium><wbr>Alkalibacterium subtropicum"	"S"	753702	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Carnobacteriaceae>Alkalibacterium"
"Lactobacillaceae"	"F"	33958	0.04261	0.04261	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales"
"Companilactobacillus><wbr>Companilactobacillus bobalius"	"S"	2801451	0.01311	0.01311	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Companilactobacillus"
"Lactobacillus><wbr>Lactobacillus delbrueckii"	"S"	1584	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus><wbr>Lactobacillus rogosae"	"S"	706562	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus><wbr>Lactobacillus ultunensis"	"S"	227945	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Pediococcus><wbr>Pediococcus damnosus"	"S"	51663	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Pediococcus"
"Paucilactobacillus"	"G"	2767890	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae"
"Dellaglioa><wbr>Dellaglioa algida"	"S"	105612	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Dellaglioa"
"Acetilactobacillus><wbr>Acetilactobacillus jinshanensis"	"S"	1720083	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Acetilactobacillus"
